Event,    Time,   Duration
Internet unavailable,  2022-01-15 02:15:55.702937222 UTC, PT12.750126060S
Internet unavailable,  2022-01-15 06:15:17.642933349 UTC, PT15.836738425S
Internet unavailable,  2022-01-15 08:26:16.853774781 UTC, PT1.032452875S
Internet unavailable,  2022-01-15 09:22:29.701263943 UTC, PT59.087424838S
Internet unavailable,  2022-01-15 11:39:23.582790519 UTC, PT2.717984926S
Internet unavailable,  2022-01-15 12:11:49.923159540 UTC, PT17.143535277S
Internet unavailable,  2022-01-15 12:28:58.488354338 UTC, PT1.032487783S
Internet unavailable,  2022-01-15 15:15:46.323024360 UTC, PT14.079915167S
Internet unavailable,  2022-01-15 16:36:30.878239316 UTC, PT1.097311635S
Internet unavailable,  2022-01-15 20:43:54.506865928 UTC, PT15.033624854S
Internet unavailable,  2022-01-15 21:26:26.378547223 UTC, PT40.071604367S
Internet unavailable,  2022-01-15 21:28:31.228499211 UTC, PT13.942535951S
Internet unavailable,  2022-01-15 21:37:58.419915098 UTC, PT7.046028810S
Internet unavailable,  2022-01-15 22:26:07.334660920 UTC, PT1.020863109S
Internet unavailable,  2022-01-15 23:39:55.543818339 UTC, PT1.024570495S
Internet unavailable,  2022-01-16 00:40:52.124022768 UTC, PT1.025249420S
Internet unavailable,  2022-01-16 00:51:04.373775894 UTC, PT15.036990347S
Internet unavailable,  2022-01-16 01:12:05.724685593 UTC, PT1.022765168S
Internet unavailable,  2022-01-16 05:33:43.798174825 UTC, PT1.028815566S
Internet unavailable,  2022-01-16 08:50:24.513018044 UTC, PT3.988917355S
Internet unavailable,  2022-01-16 08:58:44.677690973 UTC, PT35.073757790S
Internet unavailable,  2022-01-16 11:54:40.670078278 UTC, PT491.515920083S
Internet unavailable,  2022-01-16 12:16:15.573805403 UTC, PT1.778783042S
Internet unavailable,  2022-01-16 14:12:51.333066195 UTC, PT10.070735725S
Internet unavailable,  2022-01-16 14:51:32.963876689 UTC, PT1.118002767S
Internet unavailable,  2022-01-16 16:38:38.930700039 UTC, PT117.203123320S
Internet unavailable,  2022-01-16 17:06:56.350534138 UTC, PT10.055907660S
Internet unavailable,  2022-01-16 17:56:22.357822009 UTC, PT1.022805182S
Internet unavailable,  2022-01-16 18:49:05.253774252 UTC, PT1.020732383S
Internet unavailable,  2022-01-16 18:49:09.333738335 UTC, PT1.215600636S
Internet unavailable,  2022-01-16 18:49:19.733770112 UTC, PT1.037270749S
Internet unavailable,  2022-01-16 18:49:24.213754631 UTC, PT1.222114232S
Internet unavailable,  2022-01-16 19:10:51.728809598 UTC, PT1.016271328S
Internet unavailable,  2022-01-16 20:18:17.287426868 UTC, PT377.836960697S
Internet unavailable,  2022-01-16 20:24:40.453735605 UTC, PT1.135307942S
Internet unavailable,  2022-01-16 22:56:54.147307807 UTC, PT16.336425036S
Internet unavailable,  2022-01-17 02:47:24.453921885 UTC, PT8.549717207S
Internet unavailable,  2022-01-17 03:11:04.373747444 UTC, PT15.027434358S
Internet unavailable,  2022-01-17 03:58:36.853727936 UTC, PT10.056077224S
Internet unavailable,  2022-01-17 04:31:56.773800078 UTC, PT7.698845531S
Internet unavailable,  2022-01-17 06:46:00.133758651 UTC, PT6.958596506S
Internet unavailable,  2022-01-17 06:46:34.613755620 UTC, PT3.827836367S
Internet unavailable,  2022-01-17 08:06:37.013730908 UTC, PT1.016474128S
Internet unavailable,  2022-01-17 08:32:56.213738142 UTC, PT5.146913383S
Internet unavailable,  2022-01-17 09:09:11.973727783 UTC, PT3.865997124S
Internet unavailable,  2022-01-17 16:45:42.053732941 UTC, PT2.353315877S
Internet unavailable,  2022-01-17 18:12:04.851044109 UTC, PT1.026856366S
Internet unavailable,  2022-01-17 20:43:24.053748692 UTC, PT1.026532004S
Internet unavailable,  2022-01-17 20:52:33.493746223 UTC, PT1.068236023S
Internet unavailable,  2022-01-18 10:18:11.289684271 UTC, PT40.058351797S
Internet unavailable,  2022-01-18 10:41:07.325595949 UTC, PT21.056217469S
Internet unavailable,  2022-01-18 10:43:57.173757617 UTC, PT1.113770210S
Internet unavailable,  2022-01-18 10:44:10.613753455 UTC, PT1.019384627S
Internet unavailable,  2022-01-18 14:37:23.312392600 UTC, PT49.083920613S
Internet unavailable,  2022-01-18 15:50:03.813797239 UTC, PT1.016518207S
Internet unavailable,  2022-01-18 16:17:38.358186966 UTC, PT35.095486384S
Internet unavailable,  2022-01-18 16:46:27.173775214 UTC, PT14.324908766S
Internet unavailable,  2022-01-18 17:08:11.093774125 UTC, PT2.964792648S
Internet unavailable,  2022-01-18 17:08:16.613743078 UTC, PT44.527370929S
Internet unavailable,  2022-01-18 17:38:48.053754238 UTC, PT21.664995786S
Internet unavailable,  2022-01-18 17:46:14.293772459 UTC, PT3.118974588S
Internet unavailable,  2022-01-18 18:11:47.733774025 UTC, PT1.017006618S
Internet unavailable,  2022-01-18 18:27:38.913826297 UTC, PT15.027936649S
Internet unavailable,  2022-01-18 18:32:34.613777841 UTC, PT1.017679157S
Internet unavailable,  2022-01-18 18:39:21.733851258 UTC, PT1.020887669S
Internet unavailable,  2022-01-18 20:35:40.853775024 UTC, PT1.022456808S
Internet unavailable,  2022-01-19 13:50:13.578246112 UTC, PT15.033671388S
Internet unavailable,  2022-01-19 14:17:12.534924835 UTC, PT1.024113299S
Internet unavailable,  2022-01-19 14:50:46.628633491 UTC, PT1.020072255S
Internet unavailable,  2022-01-19 15:00:01.253920334 UTC, PT5.181955953S
Internet unavailable,  2022-01-19 15:14:34.303121127 UTC, PT1.019278994S
Internet unavailable,  2022-01-19 18:36:05.253801055 UTC, PT2.925328472S
Internet unavailable,  2022-01-19 18:44:08.973000240 UTC, PT35.081790236S
Internet unavailable,  2022-01-19 20:05:40.373751994 UTC, PT2.888148666S
Internet unavailable,  2022-01-19 20:05:47.253827921 UTC, PT1.019791635S
Internet unavailable,  2022-01-20 10:44:29.848866493 UTC, PT38.094086404S
Internet unavailable,  2022-01-20 11:34:14.656833320 UTC, PT1.021209954S
Internet unavailable,  2022-01-20 12:14:18.501649916 UTC, PT15.036025208S
Internet unavailable,  2022-01-20 13:26:03.490737407 UTC, PT15.032546229S
Internet unavailable,  2022-01-20 17:31:48.613983384 UTC, PT10.081534652S
Internet unavailable,  2022-01-20 17:32:01.733835870 UTC, PT4.712860046S
Internet unavailable,  2022-01-20 17:32:12.933764707 UTC, PT8.629620093S
Internet unavailable,  2022-01-20 17:32:27.653771736 UTC, PT1.757446426S
Internet unavailable,  2022-01-20 17:32:37.413759778 UTC, PT14.770100909S
Internet unavailable,  2022-01-20 17:33:12.293759942 UTC, PT2.786066400S
Internet unavailable,  2022-01-20 17:33:44.853815747 UTC, PT5.999959142S
Internet unavailable,  2022-01-20 17:35:11.973764141 UTC, PT4.614368653S
Internet unavailable,  2022-01-20 17:35:19.333828546 UTC, PT30.009891247S
Internet unavailable,  2022-01-20 17:36:20.613805637 UTC, PT1.572996204S
Internet unavailable,  2022-01-20 17:36:24.933831140 UTC, PT2.946929132S
Internet unavailable,  2022-01-20 17:37:00.453817440 UTC, PT3.009029814S
Internet unavailable,  2022-01-20 17:37:20.293811338 UTC, PT1.310485343S
Internet unavailable,  2022-01-20 17:37:25.013842827 UTC, PT1.444585625S
Internet unavailable,  2022-01-20 17:37:35.093840161 UTC, PT2.762216750S
Internet unavailable,  2022-01-20 17:37:42.853794783 UTC, PT1.253048907S
Internet unavailable,  2022-01-20 17:37:50.853787843 UTC, PT1.025113454S
Internet unavailable,  2022-01-20 17:38:43.173768556 UTC, PT2.599973151S
Internet unavailable,  2022-01-20 17:38:49.093811937 UTC, PT2.427062071S
Internet unavailable,  2022-01-20 17:39:09.813775377 UTC, PT5.527331375S
Internet unavailable,  2022-01-20 17:39:59.813834630 UTC, PT8.399013426S
Internet unavailable,  2022-01-20 18:12:51.956715222 UTC, PT35.997374668S
Internet unavailable,  2022-01-20 18:48:07.973773796 UTC, PT12.201392688S
Internet unavailable,  2022-01-21 06:19:22.453766304 UTC, PT1.032753150S
Internet unavailable,  2022-01-21 07:32:19.423158256 UTC, PT1.024347361S
Internet unavailable,  2022-01-21 07:44:32.373773318 UTC, PT1.025029308S
Internet unavailable,  2022-01-21 07:56:35.090829448 UTC, PT21.061594408S
Internet unavailable,  2022-01-21 08:06:05.129533074 UTC, PT49.083029198S
Internet unavailable,  2022-01-21 08:38:25.973743229 UTC, PT1.034426980S
Internet unavailable,  2022-01-21 12:01:38.497681292 UTC, PT1.024963002S
Internet unavailable,  2022-01-21 14:47:54.556414489 UTC, PT1.023538122S
Internet unavailable,  2022-01-21 15:15:24.031267668 UTC, PT28.022448880S
Internet unavailable,  2022-01-21 16:21:45.096893561 UTC, PT7.052109877S
Internet unavailable,  2022-01-21 16:42:24.053749942 UTC, PT1.020229929S
Internet unavailable,  2022-01-21 17:34:36.348039062 UTC, PT132.370216641S
Internet unavailable,  2022-01-21 18:26:46.436702537 UTC, PT37.988732832S
Internet unavailable,  2022-01-21 18:50:26.229174436 UTC, PT38.085389636S
Internet unavailable,  2022-01-22 09:13:48.352292999 UTC, PT52.304794226S
Internet unavailable,  2022-01-22 09:28:23.949094157 UTC, PT35.074640911S
Internet unavailable,  2022-01-22 10:25:18.293807397 UTC, PT1.021509227S
Internet unavailable,  2022-01-22 11:35:53.030497138 UTC, PT1.016785626S
Internet unavailable,  2022-01-22 12:07:02.872423696 UTC, PT1.018680832S
Internet unavailable,  2022-01-22 12:48:06.880536937 UTC, PT1.017436386S
Internet unavailable,  2022-01-22 12:50:02.271742488 UTC, PT1.028599025S
Internet unavailable,  2022-01-22 12:54:12.218867011 UTC, PT1.017833512S
Internet unavailable,  2022-01-22 13:00:30.656176915 UTC, PT1.019024229S
Internet unavailable,  2022-01-22 13:56:48.979891834 UTC, PT1.022522392S
Internet unavailable,  2022-01-22 14:26:08.583738457 UTC, PT35.084158379S
Internet unavailable,  2022-01-22 15:44:31.133906369 UTC, PT15.036194092S
Internet unavailable,  2022-01-22 16:27:10.362575008 UTC, PT1.016044273S
Internet unavailable,  2022-01-23 07:58:11.990550932 UTC, PT85.073182907S
Internet unavailable,  2022-01-23 20:22:43.893787906 UTC, PT1.033396487S
Internet unavailable,  2022-01-23 22:45:13.733779754 UTC, PT1.032816768S
Internet unavailable,  2022-01-24 03:12:45.173813264 UTC, PT1.035950728S
Internet unavailable,  2022-01-24 06:49:20.898264548 UTC, PT49.081078308S
Internet unavailable,  2022-01-24 08:58:49.095758583 UTC, PT15.110783321S
Internet unavailable,  2022-01-24 09:25:25.632656661 UTC, PT1.022012846S
Internet unavailable,  2022-01-24 13:28:50.363968148 UTC, PT1.023248813S
Internet unavailable,  2022-01-24 13:56:14.241007749 UTC, PT1.018747827S
Internet unavailable,  2022-01-24 15:12:35.849041032 UTC, PT1.021108384S
Internet unavailable,  2022-01-24 18:01:38.872011610 UTC, PT40.059790134S
Internet unavailable,  2022-01-24 23:25:52.933751140 UTC, PT1.040104085S
Internet unavailable,  2022-01-25 07:27:57.013744262 UTC, PT1.174967636S
Internet unavailable,  2022-01-25 08:58:05.253785576 UTC, PT1.123642958S
Internet unavailable,  2022-01-25 08:59:02.773793567 UTC, PT1.148161117S
Internet unavailable,  2022-01-25 09:00:01.093733409 UTC, PT1.128562475S
Internet unavailable,  2022-01-25 09:03:08.773738085 UTC, PT1.158934513S
Internet unavailable,  2022-01-25 09:06:22.533780665 UTC, PT1.179502606S
Internet unavailable,  2022-01-25 09:11:06.853732257 UTC, PT1.195693806S
Internet unavailable,  2022-01-25 09:12:03.333748232 UTC, PT1.162542026S
Internet unavailable,  2022-01-25 09:16:00.692830758 UTC, PT15.393192739S
Internet unavailable,  2022-01-25 09:25:23.173748127 UTC, PT1.123667441S
Internet unavailable,  2022-01-25 09:44:41.573749237 UTC, PT1.150024643S
Internet unavailable,  2022-01-25 15:30:13.183825103 UTC, PT58.078240267S
Internet unavailable,  2022-01-25 15:32:38.743107151 UTC, PT1.022688472S
Internet unavailable,  2022-01-25 15:40:39.580985942 UTC, PT58.088557179S
Internet unavailable,  2022-01-25 17:06:39.013768994 UTC, PT1.181831206S
Internet unavailable,  2022-01-25 17:14:53.253781691 UTC, PT1.094520457S
Internet unavailable,  2022-01-25 18:22:20.593099259 UTC, PT58.072883205S
Internet unavailable,  2022-01-26 10:49:31.818395496 UTC, PT1.045270510S
Internet unavailable,  2022-01-26 11:44:47.398305359 UTC, PT15.036078788S
Internet unavailable,  2022-01-26 15:37:27.394364701 UTC, PT58.093035998S
Internet unavailable,  2022-01-26 21:52:28.933762595 UTC, PT1.035964247S
Internet unavailable,  2022-01-26 22:24:24.693771045 UTC, PT1.020571318S
Internet unavailable,  2022-01-27 08:00:02.243673061 UTC, PT40.060624116S
Internet unavailable,  2022-01-27 11:32:18.733668693 UTC, PT15.037040792S
Internet unavailable,  2022-01-27 12:54:00.969084562 UTC, PT113.853332601S
Internet unavailable,  2022-01-27 13:01:31.577378302 UTC, PT1.019409683S
Internet unavailable,  2022-01-27 13:02:13.573750791 UTC, PT1.017327558S
Internet unavailable,  2022-01-27 14:04:36.192194823 UTC, PT35.073011990S
Internet unavailable,  2022-01-27 16:34:07.093749653 UTC, PT1.015876241S
Internet unavailable,  2022-01-27 17:20:46.987543109 UTC, PT64.117777665S
Internet unavailable,  2022-01-27 18:18:55.653762675 UTC, PT1.169785827S
Internet unavailable,  2022-01-27 21:22:03.093765834 UTC, PT1.016552884S
Internet unavailable,  2022-01-28 08:27:40.133781486 UTC, PT1.031951649S
Internet unavailable,  2022-01-29 07:41:40.440108035 UTC, PT62.863424665S
Internet unavailable,  2022-01-29 07:47:52.119210479 UTC, PT1.018375032S
Internet unavailable,  2022-01-29 08:25:59.191706981 UTC, PT35.088851552S
Internet unavailable,  2022-01-29 09:29:34.126800147 UTC, PT1.019902806S
Internet unavailable,  2022-01-29 09:38:16.689161080 UTC, PT49.080821480S
Internet unavailable,  2022-01-29 11:33:59.189209903 UTC, PT17.360951927S
Internet unavailable,  2022-01-29 12:57:41.332341595 UTC, PT35.082307506S
Internet unavailable,  2022-01-29 12:58:24.489872273 UTC, PT1.180122183S
Internet unavailable,  2022-01-29 13:08:06.224623034 UTC, PT15.028133433S
Internet unavailable,  2022-01-29 14:56:58.988385492 UTC, PT35.070989949S
Internet unavailable,  2022-01-29 17:23:00.557956130 UTC, PT7.052815013S
Internet unavailable,  2022-01-29 19:09:14.853771542 UTC, PT1.179797909S
Internet unavailable,  2022-01-29 19:24:38.173161417 UTC, PT38.097383744S
Internet unavailable,  2022-01-29 21:52:06.533059471 UTC, PT16.396451093S
Internet unavailable,  2022-01-30 23:24:47.493767916 UTC, PT1.033370987S
Internet unavailable,  2022-02-01 02:33:42.533779026 UTC, PT1.104318606S
Internet unavailable,  2022-02-01 20:09:04.635119127 UTC, PT106.128522500S
Internet unavailable,  2022-02-01 20:11:23.493765553 UTC, PT1.031847484S
Internet unavailable,  2022-02-02 04:35:12.853733724 UTC, PT1.031013482S
Internet unavailable,  2022-02-02 08:39:35.813794478 UTC, PT1.125182221S
Internet unavailable,  2022-02-02 16:31:08.773770200 UTC, PT1.021962176S
Internet unavailable,  2022-02-02 18:57:27.027508635 UTC, PT15.033546156S
Internet unavailable,  2022-02-02 19:11:13.573752654 UTC, PT1.016006160S
Internet unavailable,  2022-02-02 19:24:05.573765943 UTC, PT1.138408691S
Internet unavailable,  2022-02-02 20:03:38.660869701 UTC, PT1.018674091S
Internet unavailable,  2022-02-02 22:26:41.512140877 UTC, PT18.850835894S
Internet unavailable,  2022-02-03 02:13:06.213800119 UTC, PT1.020514126S
Internet unavailable,  2022-02-03 08:21:42.233090738 UTC, PT113.883142374S
Internet unavailable,  2022-02-03 08:40:55.481345128 UTC, PT67.115478472S
Internet unavailable,  2022-02-03 09:38:51.934720812 UTC, PT21.053130594S
Internet unavailable,  2022-02-03 09:49:18.412406262 UTC, PT67.123262232S
Internet unavailable,  2022-02-03 13:37:36.099669346 UTC, PT49.104355106S
Internet unavailable,  2022-02-03 13:43:43.466776070 UTC, PT1.018666982S
Internet unavailable,  2022-02-03 14:14:00.708514500 UTC, PT64.100901595S
Internet unavailable,  2022-02-03 15:28:26.912964734 UTC, PT49.088211047S
Internet unavailable,  2022-02-03 16:12:39.961856659 UTC, PT21.067111216S
Internet unavailable,  2022-02-03 17:05:18.693768345 UTC, PT1.016636489S
Internet unavailable,  2022-02-03 19:42:32.032467886 UTC, PT21.073694852S
Internet unavailable,  2022-02-03 20:18:34.727595141 UTC, PT1.026047457S
Internet unavailable,  2022-02-03 20:40:03.068712973 UTC, PT49.068095051S
Internet unavailable,  2022-02-03 21:31:25.564659831 UTC, PT58.077174301S
Internet unavailable,  2022-02-04 01:15:26.854755348 UTC, PT1.017252435S
Internet unavailable,  2022-02-04 12:04:42.917681835 UTC, PT1.019760640S
Internet unavailable,  2022-02-04 13:21:54.909279669 UTC, PT58.096505615S
Internet unavailable,  2022-02-04 13:47:45.525550088 UTC, PT1.021735111S
Internet unavailable,  2022-02-04 14:31:56.561015354 UTC, PT1.022642761S
Internet unavailable,  2022-02-04 14:48:36.328115038 UTC, PT58.079953144S
Internet unavailable,  2022-02-04 21:01:41.295158543 UTC, PT1.022728451S
Internet unavailable,  2022-02-04 21:12:05.561579632 UTC, PT1.020022601S
Internet unavailable,  2022-02-05 09:58:29.493752265 UTC, PT1.131905510S
Internet unavailable,  2022-02-05 16:49:02.213753285 UTC, PT1.024339680S
Internet unavailable,  2022-02-05 20:48:07.094629147 UTC, PT15.094775565S
Internet unavailable,  2022-02-06 10:34:54.213747260 UTC, PT1.030122952S
Internet unavailable,  2022-02-06 13:34:23.777026318 UTC, PT88.104774945S
Internet unavailable,  2022-02-06 15:39:18.613783998 UTC, PT1.194542627S
Internet unavailable,  2022-02-06 18:21:56.773401737 UTC, PT58.075202743S
Internet unavailable,  2022-02-06 20:48:05.379933148 UTC, PT58.076773669S
Internet unavailable,  2022-02-06 20:58:37.064435245 UTC, PT17.554749704S
Internet unavailable,  2022-02-06 23:36:04.853754057 UTC, PT1.024659258S
Internet unavailable,  2022-02-07 07:48:37.251126663 UTC, PT58.078427198S
Internet unavailable,  2022-02-07 08:05:06.184322200 UTC, PT113.080496740S
Internet unavailable,  2022-02-07 08:36:37.733813386 UTC, PT1.021482239S
Internet unavailable,  2022-02-07 09:49:46.800392892 UTC, PT49.330246043S
Internet unavailable,  2022-02-07 09:53:56.982134857 UTC, PT35.070586094S
Internet unavailable,  2022-02-07 09:57:57.538061751 UTC, PT1.016088695S
Internet unavailable,  2022-02-07 10:38:23.974050543 UTC, PT1.051568161S
Internet unavailable,  2022-02-07 12:19:43.975494152 UTC, PT35.069061890S
Internet unavailable,  2022-02-07 12:57:56.282187390 UTC, PT24.060695540S
Internet unavailable,  2022-02-07 13:27:06.482165806 UTC, PT49.084951738S
Internet unavailable,  2022-02-07 14:38:09.109028681 UTC, PT1.025195084S
Internet unavailable,  2022-02-07 15:51:53.223344242 UTC, PT35.080527363S
Internet unavailable,  2022-02-07 16:14:48.354308920 UTC, PT22.655241797S
Internet unavailable,  2022-02-07 16:41:54.148287799 UTC, PT49.087294884S
Internet unavailable,  2022-02-07 16:54:17.620975447 UTC, PT1.027004988S
Internet unavailable,  2022-02-07 17:13:09.956940309 UTC, PT1.022213256S
Internet unavailable,  2022-02-07 17:59:04.012890809 UTC, PT35.074628960S
Internet unavailable,  2022-02-07 20:34:41.653804728 UTC, PT1.024534018S
Internet unavailable,  2022-02-08 07:01:10.773872563 UTC, PT35.079775221S
Internet unavailable,  2022-02-08 07:11:44.933768729 UTC, PT1.052536376S
Internet unavailable,  2022-02-08 07:31:09.878189074 UTC, PT129.164220067S
Internet unavailable,  2022-02-08 08:38:00.533799568 UTC, PT1.140477544S
Internet unavailable,  2022-02-08 08:44:48.613749392 UTC, PT1.133958639S
Internet unavailable,  2022-02-08 08:52:04.533770462 UTC, PT1.165087582S
Internet unavailable,  2022-02-08 08:57:12.553094266 UTC, PT24.103830591S
Internet unavailable,  2022-02-08 08:58:06.453773860 UTC, PT1.082399591S
Internet unavailable,  2022-02-08 09:04:45.893760732 UTC, PT1.122747995S
Internet unavailable,  2022-02-08 09:09:11.893767909 UTC, PT1.157801908S
Internet unavailable,  2022-02-08 09:09:55.813771866 UTC, PT1.110967821S
Internet unavailable,  2022-02-08 09:11:31.573734274 UTC, PT1.079917735S
Internet unavailable,  2022-02-08 09:19:50.933772225 UTC, PT1.025611046S
Internet unavailable,  2022-02-08 11:44:35.278347580 UTC, PT52.108293754S
Internet unavailable,  2022-02-08 13:51:57.037733762 UTC, PT37.670732900S
Internet unavailable,  2022-02-08 14:50:52.853856082 UTC, PT1.028168923S
Internet unavailable,  2022-02-09 06:36:20.812219866 UTC, PT52.366780098S
Internet unavailable,  2022-02-09 07:38:26.613748300 UTC, PT92.143797312S
